Mes,% variación ,Periodo analizado,Periodo comparativo,Variación
Ene,"1,2 %",3697462,3655247,"-1,9 %"
Feb,"5,1 %",3624259,3449781,"-0,7 %"
Mar,"-17,0 %",4468086,5380755,"-17,8 %"
Abr,"79,3 %",7500060,4182719,"3,1 %"
May,"39,8 %",6543001,4679331,"4,6 %"
Jun,"3,8 %",8433733,8128580,"2,4 %"
Jul,"-3,3 %",13844876,14324723,"1,0 %"
Ago,"-0,2 %",15332543,15364901,"-2,6 %"
Sep,"5,8 %",8640237,8170246,"3,5 %"
Oct,"6,2 %",6922333,6519995,"-3,7 %"
Nov,"11,3 %",4538909,4078841,"0,9 %"
Dic,"9,3 %",4812145,4404133,"15,4 %"
