Mercado de origen,% variación,P. analizado,P. comparativo
Niger,,"497,5 €",
Tunez,"281,3 %","241,9 €","63,5 €"
Ciudad del Vaticano,,"151,3 €",
Bahamas,,"121,8 €",
Mauritania,,"117,5 €",
Togo,,"108,0 €",
Chipre,"922,9 %","103,4 €","10,1 €"
Angola,,"90,5 €",
Panamá,"219,0 %","85,7 €","26,9 €"
San Marino,,"83,1 €",
Islas Bermudas,,"80,6 €",
Islas Vírgenes Británicas,,"69,2 €",
Senegal,"323,5 %","67,8 €","16,0 €"
Nicaragua,,"62,4 €",
Gibraltar,"67,3 %","58,8 €","35,2 €"
Mónaco,"16,9 %","57,1 €","48,8 €"
Austria,"-5,4 %","55,4 €","58,6 €"
Omán,"208,4 %","54,7 €","17,8 €"
Nigeria,,"53,0 €",
Curaçao,"-2,9 %","53,0 €","54,6 €"
Liechtenstein,"-13,9 %","52,7 €","61,1 €"
Emiratos Árabes Unidos,"18,0 %","51,5 €","43,7 €"
Singapur,"211,6 %","51,4 €","16,5 €"
Malta,"209,2 %","50,9 €","16,5 €"
Costa de Marfil,"-77,7 %","50,8 €","227,8 €"
Suiza,"-21,7 %","49,6 €","63,3 €"
Bahrein,"2145,3 %","49,4 €","2,2 €"
Islas Caimán,"186,7 %","48,9 €","17,1 €"
Benín,,"48,1 €",
San Cristóbal y Nieves,,"47,7 €",
China,"-9,4 %","47,5 €","52,4 €"
Italia,"62,3 %","47,1 €","29,0 €"
Kirgizstán,"106,4 %","46,5 €","22,5 €"
Gabón,,"46,2 €",
Filipinas,"102,2 %","45,9 €","22,7 €"
Portugal,"23,5 %","45,9 €","37,2 €"
Malasia,,"44,8 €",
Grecia,"121,2 %","43,9 €","19,9 €"
Bélgica,"-1,0 %","43,5 €","43,9 €"
Mozambique,,"43,3 €",
Alemania,"-0,3 %","42,1 €","42,2 €"
Otros países,,"41,4 €",
Brunéi,,"41,2 €",
Ghana,"150,0 %","40,6 €","16,2 €"
Tadjikistán,"25,4 %","40,5 €","32,3 €"
Marruecos,"8,7 %","40,3 €","37,1 €"
Sierra Leona,,"40,0 €",
Islandia,"31,1 %","39,5 €","30,1 €"
Reino Unido,"0,5 %","39,4 €","39,2 €"
Burkina Faso,,"39,3 €",
Guernsey,,"39,1 €",
Francia,"-5,4 %","38,4 €","40,6 €"
"Bonaire, San Eustaquio, Saba",,"38,2 €",
Vietnam,"474,5 %","37,3 €","6,5 €"
República Dominicana,"179,4 %","37,1 €","13,3 €"
Nueva Caledonia,,"36,6 €",
Armenia,"27,9 %","36,4 €","28,5 €"
Montenegro,"0,5 %","36,3 €","36,1 €"
Nepal,,"36,1 €",
Dinamarca,"9,5 %","35,8 €","32,7 €"
Irlanda,"-1,5 %","35,6 €","36,1 €"
Noruega,"-2,7 %","35,5 €","36,4 €"
República Democrática del Congo,,"35,3 €",
Estonia,"-58,8 %","35,2 €","85,4 €"
Países Bajos,"-2,8 %","35,1 €","36,1 €"
Qatar,"-47,9 %","34,3 €","65,8 €"
Suecia,"9,4 %","34,2 €","31,3 €"
Anguila,,"34,0 €",
Haití,,"34,0 €",
Islas Turcas y Caicos,,"34,0 €",
Israel,"38,3 %","33,9 €","24,5 €"
Tailandia,"-64,2 %","33,7 €","94,0 €"
Kuwait,,"33,1 €",
Egipto,"-23,3 %","33,0 €","43,0 €"
Camboya,"37,6 %","32,3 €","23,5 €"
Ecuador,"74,3 %","32,3 €","18,5 €"
Bielorrusia,"74,4 %","31,8 €","18,2 €"
Eslovenia,"11,3 %","31,5 €","28,3 €"
Arabia Saudita,"8,0 %","31,4 €","29,1 €"
Eslovaquia,"1,2 %","31,0 €","30,6 €"
Japón,"9,6 %","30,3 €","27,6 €"
Indonesia,"40,5 %","29,7 €","21,1 €"
Canadá,"-20,5 %","29,5 €","37,2 €"
Macedônia,"30,3 %","29,5 €","22,6 €"
Hong kong,"25,8 %","28,9 €","23,0 €"
Bulgaria,"-5,7 %","28,6 €","30,3 €"
Sudáfrica,"-31,4 %","28,2 €","41,1 €"
Rumanía,"15,5 %","27,9 €","24,2 €"
Croacia,"9,3 %","27,6 €","25,3 €"
Argelia,"43,4 %","27,5 €","19,2 €"
Moldavia,"38,4 %","27,4 €","19,8 €"
Mongolia,,"27,0 €",
República Checa,"-6,7 %","26,9 €","28,8 €"
Yibuti,,"26,9 €",
Turquía,"-56,1 %","26,8 €","61,0 €"
Argentina,"15,6 %","26,6 €","23,0 €"
Irak,"-38,8 %","26,5 €","43,3 €"
Polonia,"16,2 %","26,0 €","22,4 €"
Perú,"-21,0 %","25,8 €","32,6 €"
Chile,"18,3 %","25,7 €","21,8 €"
Brasil,"110,7 %","25,5 €","12,1 €"
Venezuela,"-17,3 %","25,5 €","30,9 €"
Corea del Sur,"65,9 %","25,3 €","15,3 €"
Honduras,"-36,9 %","24,9 €","39,4 €"
Finlandia,"-15,6 %","24,6 €","29,2 €"
Colombia,"-1,6 %","24,5 €","24,9 €"
México,"0,9 %","24,5 €","24,3 €"
Paraguay,"1061,2 %","24,4 €","2,1 €"
Lituania,"20,6 %","24,4 €","20,2 €"
Costa Rica,"6,2 %","23,2 €","21,9 €"
Serbia,"257,8 %","23,2 €","6,5 €"
Georgia,,"22,4 €",
Nueva Zelanda,"23,0 %","22,4 €","18,2 €"
Bosnia y Herzegovina,"63,3 %","22,0 €","13,5 €"
Kazajistán,"-8,5 %","21,9 €","24,0 €"
Dominica,,"21,8 €",
Letonia,"-1,6 %","20,8 €","21,1 €"
Aruba,,"18,9 €",
El Salvador,"-69,8 %","18,3 €","60,6 €"
Taiwán,"-20,4 %","16,5 €","20,8 €"
Jordania,,"15,9 €",
Albania,"-86,0 %","15,9 €","113,5 €"
Guatemala,"-28,0 %","15,4 €","21,3 €"
Puerto Rico,"68,4 %","14,1 €","8,4 €"
Jamaica,,"13,8 €",
Palestina,,"13,8 €",
Laos,"-33,1 %","13,4 €","20,0 €"
India,,"11,2 €",
Somalia,"-13,7 %","11,1 €","12,8 €"
Azerbayán,,"10,8 €",
Zimbabue,,"10,6 €",
Guinea Ecuatorial,,"10,3 €",
Cabo Verde,,"10,2 €",
Bolivia,"-66,5 %","9,4 €","27,9 €"
Sri lanka,,"7,6 €",
Trinidad y Tobago,"-17,0 %","7,1 €","8,5 €"
Pakistán,,"4,1 €",
Congo,,,"4,2 €"
Mali,,,"29,0 €"
